name;conc;0 min ;1 min ;2 min ;3 min ;4 min ;5 min ;6 min ;7 min ;8 min ;9 min ;10 min ;11 min ;12 min ;13 min ;14 min ;15 min ;16 min ;17 min ;18 min ;19 min ;20 min ;21 min ;22 min ;23 min ;24 min ;25 min ;26 min ;27 min ;28 min ;29 min ;30 min ;31 min ;32 min ;33 min ;34 min ;35 min ;36 min ;37 min ;38 min ;39 min 
H2O;0;1.544;1.536;1.524;1.528;1.517;1.521;1.519;1.51;1.518;1.518;1.519;1.502;1.506;1.5;1.499;1.494;1.492;1.49;1.485;1.486;1.484;1.483;1.48;1.468;1.478;1.468;1.468;1.471;1.469;1.459;1.46;1.451;1.454;1.446;1.45;1.451;1.445;1.431;1.446;1.432
H2O;0;1.512;1.508;1.497;1.512;1.498;1.49;1.505;1.491;1.499;1.492;1.499;1.49;1.484;1.48;1.479;1.475;1.467;1.475;1.469;1.467;1.465;1.464;1.466;1.457;1.462;1.453;1.456;1.456;1.448;1.453;1.444;1.445;1.439;1.433;1.436;1.44;1.427;1.429;1.428;1.419
H2O;0;1.506;1.501;1.489;1.5;1.497;1.492;1.496;1.483;1.489;1.48;1.489;1.477;1.481;1.472;1.48;1.462;1.472;1.465;1.47;1.459;1.463;1.457;1.461;1.456;1.459;1.452;1.447;1.456;1.448;1.442;1.442;1.442;1.436;1.442;1.44;1.438;1.434;1.439;1.433;1.428
H2O;0;1.542;1.531;1.532;1.544;1.529;1.53;1.537;1.525;1.529;1.524;1.528;1.518;1.516;1.516;1.51;1.502;1.505;1.509;1.502;1.501;1.505;1.492;1.494;1.484;1.49;1.485;1.486;1.482;1.48;1.477;1.471;1.474;1.472;1.464;1.473;1.462;1.456;1.459;1.453;1.45
Trolox;35;1.47;1.463;1.458;1.472;1.46;1.472;1.473;1.459;1.462;1.46;1.459;1.455;1.457;1.445;1.458;1.441;1.446;1.445;1.443;1.436;1.436;1.435;1.433;1.427;1.431;1.422;1.42;1.43;1.424;1.418;1.416;1.408;1.415;1.403;1.409;1.41;1.407;1.396;1.4;1.392
Trolox;35;1.476;1.475;1.464;1.47;1.459;1.46;1.461;1.457;1.464;1.453;1.463;1.449;1.45;1.444;1.445;1.438;1.438;1.439;1.431;1.429;1.428;1.432;1.426;1.423;1.419;1.417;1.415;1.419;1.414;1.408;1.408;1.402;1.399;1.395;1.403;1.402;1.391;1.393;1.393;1.389
Trolox;35;1.503;1.491;1.481;1.483;1.484;1.485;1.485;1.478;1.476;1.476;1.478;1.473;1.473;1.465;1.472;1.455;1.462;1.458;1.455;1.454;1.453;1.449;1.45;1.446;1.447;1.435;1.438;1.443;1.438;1.431;1.435;1.425;1.422;1.426;1.421;1.419;1.412;1.418;1.41;1.408
Trolox;35;1.468;1.462;1.458;1.466;1.46;1.461;1.455;1.452;1.45;1.453;1.46;1.454;1.451;1.445;1.462;1.439;1.448;1.447;1.448;1.444;1.449;1.443;1.437;1.432;1.434;1.421;1.426;1.432;1.423;1.422;1.415;1.413;1.412;1.413;1.411;1.408;1.403;1.407;1.402;1.401
Trolox;54;1.452;1.445;1.44;1.451;1.455;1.448;1.453;1.446;1.445;1.442;1.447;1.441;1.439;1.431;1.433;1.423;1.426;1.421;1.425;1.416;1.415;1.416;1.416;1.405;1.413;1.396;1.4;1.403;1.394;1.395;1.393;1.388;1.385;1.384;1.383;1.38;1.378;1.374;1.37;1.373
Trolox;54;1.448;1.443;1.434;1.436;1.431;1.431;1.431;1.428;1.431;1.424;1.433;1.427;1.417;1.416;1.419;1.409;1.415;1.411;1.411;1.403;1.405;1.406;1.405;1.393;1.399;1.393;1.398;1.395;1.401;1.385;1.385;1.385;1.383;1.378;1.375;1.379;1.371;1.367;1.371;1.363
Trolox;54;1.453;1.448;1.437;1.45;1.442;1.44;1.438;1.434;1.439;1.439;1.436;1.433;1.431;1.427;1.429;1.419;1.424;1.419;1.422;1.415;1.418;1.421;1.419;1.415;1.412;1.403;1.408;1.406;1.405;1.4;1.397;1.39;1.396;1.392;1.39;1.385;1.386;1.384;1.382;1.381
Trolox;54;1.451;1.442;1.432;1.443;1.434;1.438;1.432;1.43;1.43;1.425;1.433;1.422;1.43;1.421;1.421;1.41;1.417;1.411;1.411;1.414;1.41;1.405;1.411;1.399;1.406;1.401;1.4;1.401;1.398;1.394;1.401;1.405;1.4;1.392;1.389;1.385;1.38;1.38;1.38;1.376
Trolox;85;1.442;1.427;1.421;1.423;1.421;1.418;1.425;1.415;1.421;1.419;1.425;1.414;1.419;1.412;1.404;1.399;1.401;1.399;1.399;1.392;1.391;1.396;1.395;1.384;1.384;1.384;1.386;1.387;1.383;1.378;1.377;1.368;1.372;1.366;1.369;1.367;1.365;1.36;1.362;1.355
Trolox;85;1.432;1.419;1.409;1.419;1.409;1.418;1.412;1.405;1.405;1.403;1.412;1.397;1.399;1.394;1.396;1.394;1.396;1.389;1.387;1.385;1.388;1.383;1.386;1.377;1.376;1.375;1.377;1.378;1.379;1.376;1.365;1.37;1.366;1.363;1.368;1.365;1.363;1.357;1.354;1.357
Trolox;85;1.422;1.414;1.412;1.413;1.409;1.408;1.409;1.406;1.41;1.41;1.405;1.405;1.401;1.4;1.397;1.392;1.393;1.393;1.388;1.382;1.39;1.385;1.386;1.378;1.376;1.378;1.374;1.375;1.373;1.369;1.369;1.368;1.364;1.363;1.36;1.362;1.355;1.357;1.352;1.349
Trolox;85;1.436;1.428;1.418;1.423;1.421;1.416;1.421;1.412;1.415;1.418;1.418;1.411;1.41;1.402;1.404;1.397;1.407;1.403;1.4;1.393;1.398;1.393;1.39;1.388;1.386;1.387;1.388;1.391;1.382;1.38;1.377;1.38;1.377;1.368;1.375;1.373;1.366;1.369;1.373;1.364
Trolox;175;1.316;1.308;1.299;1.305;1.3;1.3;1.298;1.293;1.298;1.297;1.303;1.299;1.297;1.293;1.295;1.29;1.289;1.289;1.285;1.287;1.29;1.289;1.286;1.283;1.28;1.278;1.278;1.281;1.278;1.276;1.274;1.273;1.268;1.268;1.268;1.268;1.268;1.267;1.26;1.263
